question,ansewer
キャストを事前に選べますか？,選べます。チケット購入前にスケジュールをチェックできるので安心してご利用可能です。
指名せず、フリーで入店可能ですか？,サービスの特性上、指名必須となります。
チェンジは出来ますか？,サービスの特性上、出来かねます。
キャストは途中で交代しますか？,ご指名いただいたキャストが終了時間まで担当致します。
追加料金は発生しますか？,基本料金と指名料のみにて利用可能です。追加のオプションプランなどを別途購入することも可能です。
料金の支払い方法は何ですか？,LINE Payにてお支払いが可能です。
オンライン会話の接続方法は何ですか？,Zoomのみにて接続致します。決済完了後にURLを送付致します。
途中で動画が切れた場合はどうすればよいですか？,同一のZoom-IDにてログインしてお待ち下さい。制限時間内であれば再接続可能です。
途中で動画が切れた場合などに返金はありますか？,サービス特性上、キャストとのオンライン会話開始後は如何なる場合も返金は御座いません。
時間になってもキャストと接続しない,カスタマーサポートあてにご連絡ください。
延長したい場合はどうすればよいですか？,キャストにスケジュールを確認して、もう一度チケットを購入下さい。